======================================================================
Training session started at 2026-09-05T19:15:05.207679
======================================================================
Loaded adversarial player checkpoint.
Loaded adversarial ghost checkpoint.
============================================================
Asymmetric Adv PPO | WU: 0 | Ratio: 5:1
U 0084 [GHOST TURN] | Ep 0150 | P_Rew: -696.3 | G_Rew:  392.6 | Win%:  58.3% | Die%:  98.0% | Loss(P/V): -0.006/9.595 | Ent: 1.359 | Time: 7714.3s
U 0085 [PLAYER TURN] | Ep 0154 | P_Rew: -500.5 | G_Rew:  295.8 | Win%:  58.4% | Die%: 100.0% | Loss(P/V): 0.005/24.071 | Ent: 0.218 | Time: 7812.5s
U 0086 [GHOST TURN] | Ep 0154 | P_Rew: -500.5 | G_Rew:  295.8 | Win%:  58.4% | Die%: 100.0% | Loss(P/V): -0.002/13.912 | Ent: 1.361 | Time: 7903.0s
U 0087 [GHOST TURN] | Ep 0156 | P_Rew: -543.8 | G_Rew:  317.1 | Win%:  57.8% | Die%: 100.0% | Loss(P/V): -0.001/13.507 | Ent: 1.363 | Time: 7991.2s
U 0088 [GHOST TURN] | Ep 0156 | P_Rew: -543.8 | G_Rew:  317.1 | Win%:  57.8% | Die%: 100.0% | Loss(P/V): -0.004/11.096 | Ent: 1.368 | Time: 8087.4s
U 0089 [GHOST TURN] | Ep 0156 | P_Rew: -543.8 | G_Rew:  317.1 | Win%:  57.8% | Die%: 100.0% | Loss(P/V): 0.003/6.215 | Ent: 1.351 | Time: 8177.5s
U 0090 [GHOST TURN] | Ep 0159 | P_Rew: -722.3 | G_Rew:  406.0 | Win%:  58.3% | Die%: 100.0% | Loss(P/V): -0.004/13.312 | Ent: 1.368 | Time: 8267.0s
U 0091 [PLAYER TURN] | Ep 0160 | P_Rew: -767.3 | G_Rew:  428.3 | Win%:  58.7% | Die%: 100.0% | Loss(P/V): 0.010/22.283 | Ent: 0.324 | Time: 8360.5s
U 0092 [GHOST TURN] | Ep 0162 | P_Rew: -704.9 | G_Rew:  397.0 | Win%:  57.0% | Die%: 100.0% | Loss(P/V): -0.002/13.400 | Ent: 1.365 | Time: 8453.2s
U 0093 [GHOST TURN] | Ep 0163 | P_Rew: -720.1 | G_Rew:  404.9 | Win%:  56.8% | Die%: 100.0% | Loss(P/V): -0.006/16.081 | Ent: 1.366 | Time: 8550.3s
U 0094 [GHOST TURN] | Ep 0169 | P_Rew: -702.9 | G_Rew:  395.9 | Win%:  57.7% | Die%: 100.0% | Loss(P/V): -0.008/14.832 | Ent: 1.368 | Time: 8642.2s
U 0095 [GHOST TURN] | Ep 0175 | P_Rew: -700.0 | G_Rew:  394.6 | Win%:  54.8% | Die%: 100.0% | Loss(P/V): -0.008/15.111 | Ent: 1.369 | Time: 8730.0s
U 0096 [GHOST TURN] | Ep 0180 | P_Rew: -669.0 | G_Rew:  380.1 | Win%:  54.2% | Die%: 100.0% | Loss(P/V): -0.003/13.807 | Ent: 1.367 | Time: 8818.7s
U 0097 [PLAYER TURN] | Ep 0184 | P_Rew: -685.8 | G_Rew:  388.3 | Win%:  54.1% | Die%: 100.0% | Loss(P/V): 0.005/27.309 | Ent: 0.269 | Time: 8909.6s
U 0098 [GHOST TURN] | Ep 0185 | P_Rew: -699.2 | G_Rew:  394.6 | Win%:  54.4% | Die%: 100.0% | Loss(P/V): -0.005/12.800 | Ent: 1.364 | Time: 9002.5s
U 0099 [GHOST TURN] | Ep 0186 | P_Rew: -670.1 | G_Rew:  379.9 | Win%:  54.3% | Die%: 100.0% | Loss(P/V): -0.003/11.947 | Ent: 1.361 | Time: 9094.8s
U 0100 [GHOST TURN] | Ep 0188 | P_Rew: -690.2 | G_Rew:  390.1 | Win%:  54.3% | Die%: 100.0% | Loss(P/V): -0.005/11.653 | Ent: 1.366 | Time: 9185.6s
U 0101 [GHOST TURN] | Ep 0189 | P_Rew: -728.3 | G_Rew:  408.9 | Win%:  54.5% | Die%: 100.0% | Loss(P/V): -0.003/10.746 | Ent: 1.364 | Time: 9280.7s
U 0102 [GHOST TURN] | Ep 0192 | P_Rew:  -44.5 | G_Rew:   67.2 | Win%:  52.9% | Die%: 100.0% | Loss(P/V): -0.003/13.546 | Ent: 1.366 | Time: 9376.3s
U 0103 [PLAYER TURN] | Ep 0194 | P_Rew:  -28.1 | G_Rew:   59.0 | Win%:  53.3% | Die%: 100.0% | Loss(P/V): 0.009/20.013 | Ent: 0.271 | Time: 9467.1s
U 0104 [GHOST TURN] | Ep 0194 | P_Rew:  -28.1 | G_Rew:   59.0 | Win%:  53.3% | Die%: 100.0% | Loss(P/V): -0.006/10.181 | Ent: 1.357 | Time: 9560.8s
U 0105 [GHOST TURN] | Ep 0194 | P_Rew:  -28.1 | G_Rew:   59.0 | Win%:  53.3% | Die%: 100.0% | Loss(P/V): 0.002/6.309 | Ent: 1.353 | Time: 9652.6s
U 0106 [GHOST TURN] | Ep 0195 | P_Rew: -477.6 | G_Rew:  282.8 | Win%:  53.9% | Die%:  98.0% | Loss(P/V): -0.000/8.021 | Ent: 1.346 | Time: 9749.0s
U 0107 [GHOST TURN] | Ep 0195 | P_Rew: -477.6 | G_Rew:  282.8 | Win%:  53.9% | Die%:  98.0% | Loss(P/V): 0.002/9.374 | Ent: 1.340 | Time: 9842.0s
U 0108 [GHOST TURN] | Ep 0196 | P_Rew: -508.0 | G_Rew:  298.0 | Win%:  54.6% | Die%:  98.0% | Loss(P/V): 0.001/14.322 | Ent: 1.350 | Time: 9934.0s
U 0109 [PLAYER TURN] | Ep 0197 | P_Rew: -543.7 | G_Rew:  315.8 | Win%:  54.3% | Die%:  98.0% | Loss(P/V): 0.004/21.529 | Ent: 0.306 | Time: 10026.9s
U 0110 [GHOST TURN] | Ep 0197 | P_Rew: -543.7 | G_Rew:  315.8 | Win%:  54.3% | Die%:  98.0% | Loss(P/V): -0.001/7.309 | Ent: 1.347 | Time: 10124.5s
U 0111 [GHOST TURN] | Ep 0198 | P_Rew: -817.7 | G_Rew:  452.4 | Win%:  55.2% | Die%:  98.0% | Loss(P/V): -0.002/8.329 | Ent: 1.342 | Time: 10217.1s
U 0112 [GHOST TURN] | Ep 0203 | P_Rew: -761.0 | G_Rew:  423.9 | Win%:  52.5% | Die%:  98.0% | Loss(P/V): 0.001/12.762 | Ent: 1.331 | Time: 10306.9s
