Upd 405/20000 | Tot Ep: 530 | Avg Rwd:  122.9 | Avg Pellets: 107.8 (42.3%) | Max Pellets: 172 (84.8%) | Loss (P/V): -0.0000/1.6957 | Time: 1813.2s (5.32s/upd)
Upd 410/20000 | Tot Ep: 537 | Avg Rwd:  128.5 | Avg Pellets: 108.5 (43.3%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0001/2.6111 | Time: 1837.0s (4.69s/upd)
Upd 415/20000 | Tot Ep: 543 | Avg Rwd:  119.7 | Avg Pellets: 107.1 (43.9%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0001/1.6876 | Time: 1861.3s (4.72s/upd)
Upd 420/20000 | Tot Ep: 550 | Avg Rwd:  113.3 | Avg Pellets: 106.2 (43.6%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0003/1.5053 | Time: 1883.1s (4.29s/upd)
Upd 425/20000 | Tot Ep: 556 | Avg Rwd:  121.0 | Avg Pellets: 107.2 (44.6%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0001/1.9386 | Time: 1904.7s (4.42s/upd)
Upd 430/20000 | Tot Ep: 563 | Avg Rwd:  124.6 | Avg Pellets: 107.7 (45.1%) | Max Pellets: 173 (84.8%) | Loss (P/V): 0.0001/1.7734 | Time: 1927.6s (4.83s/upd)
Upd 435/20000 | Tot Ep: 569 | Avg Rwd:  128.4 | Avg Pellets: 108.3 (45.3%) | Max Pellets: 173 (84.8%) | Loss (P/V): 0.0001/1.3087 | Time: 1952.9s (4.22s/upd)
Upd 440/20000 | Tot Ep: 576 | Avg Rwd:  126.2 | Avg Pellets: 107.8 (45.6%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0001/2.2397 | Time: 1976.3s (5.00s/upd)
Upd 445/20000 | Tot Ep: 582 | Avg Rwd:  131.4 | Avg Pellets: 108.5 (45.2%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0000/1.8040 | Time: 2002.0s (5.13s/upd)
Upd 450/20000 | Tot Ep: 589 | Avg Rwd:  125.6 | Avg Pellets: 107.6 (44.6%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0000/1.9011 | Time: 2027.0s (4.95s/upd)
Upd 455/20000 | Tot Ep: 596 | Avg Rwd:  131.9 | Avg Pellets: 108.6 (44.5%) | Max Pellets: 173 (87.4%) | Loss (P/V): -0.0000/2.3516 | Time: 2049.8s (4.30s/upd)
Upd 460/20000 | Tot Ep: 602 | Avg Rwd:  126.2 | Avg Pellets: 107.8 (43.8%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0000/2.3076 | Time: 2072.2s (4.89s/upd)
Upd 465/20000 | Tot Ep: 609 | Avg Rwd:  123.5 | Avg Pellets: 107.4 (43.2%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0001/2.0332 | Time: 2091.6s (4.14s/upd)
Upd 470/20000 | Tot Ep: 615 | Avg Rwd:  121.1 | Avg Pellets: 107.0 (42.7%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0000/1.1725 | Time: 2113.7s (4.99s/upd)
Upd 475/20000 | Tot Ep: 622 | Avg Rwd:  115.2 | Avg Pellets: 106.0 (43.0%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0000/1.7237 | Time: 2137.6s (4.97s/upd)
Upd 480/20000 | Tot Ep: 628 | Avg Rwd:  110.7 | Avg Pellets: 105.4 (42.7%) | Max Pellets: 173 (87.4%) | Loss (P/V): 0.0002/2.1648 | Time: 2163.2s (4.88s/upd)
